Nombre,Puntaje,Fecha
DANIELA,296050,"02/27/2026, 12:00:00 AM"
MAGALY,1012,"02/23/2026, 12:00:00 AM"
SEBAS,283003,"01/02/2026, 12:00:00 AM"
EVELYN,197142,"01/25/2026, 12:00:00 AM"
EVELYN,381569,"01/26/2026, 12:00:00 AM"
EVELYN,194828,"01/11/2026, 12:00:00 AM"
EVELYN,128752,"01/16/2026, 12:00:00 AM"
DIEGO,46037,"02/05/2026, 12:00:00 AM"
SEBAS,700413,"01/07/2026, 12:00:00 AM"
VALERIA,51320,"02/16/2026, 12:00:00 AM"
DIEGO,60960,"01/28/2026, 12:00:00 AM"
CHOCHO,948,"03/01/2026, 12:00:00 AM"
EDWIN,1082869,"01/29/2026, 12:00:00 AM"
VALERIA,1277554,"02/02/2026, 12:00:00 AM"
EDWIN,121187,"01/07/2026, 12:00:00 AM"
CARO,41674,"01/18/2026, 12:00:00 AM"
VALERIA,521443,"01/28/2026, 12:00:00 AM"
VALERIA,118475,"01/16/2026, 12:00:00 AM"
CARO,119760,"01/21/2026, 12:00:00 AM"
DIEGO,940,"02/04/2026, 12:00:00 AM"
VALERIA,449698,"01/05/2026, 12:00:00 AM"
CARO,73323,"01/26/2026, 12:00:00 AM"
CHOCHO,248358,"02/21/2026, 12:00:00 AM"
EDWIN,224258,"01/03/2026, 12:00:00 AM"
EDWIN,987232,"02/03/2026, 12:00:00 AM"
SEBAS,49791,"02/03/2026, 12:00:00 AM"
DIEGO,764,"02/04/2026, 12:00:00 AM"
EVELYN,1178911,"02/11/2026, 12:00:00 AM"
EDWIN,548678,"01/06/2026, 12:00:00 AM"
EVELYN,289061,"01/11/2026, 12:00:00 AM"
SEBAS,987156,"02/07/2026, 12:00:00 AM"
DANIELA,203957,"02/13/2026, 12:00:00 AM"
DANIELA,318520,"02/06/2026, 12:00:00 AM"
EVELYN,740046,"01/30/2026, 12:00:00 AM"
DIEGO,1053339,"01/03/2026, 12:00:00 AM"
CARO,105048,"02/10/2026, 12:00:00 AM"
VALERIA,712852,"01/16/2026, 12:00:00 AM"
DIEGO,800,"02/14/2026, 12:00:00 AM"
EVELYN,1072877,"01/06/2026, 12:00:00 AM"
SEBAS,90675,"02/07/2026, 12:00:00 AM"
EVELYN,57375,"02/04/2026, 12:00:00 AM"
VALERIA,124968,"02/22/2026, 12:00:00 AM"
DANIELA,1052148,"02/22/2026, 12:00:00 AM"
DANIELA,476755,"02/11/2026, 12:00:00 AM"
SEBAS,1161975,"01/13/2026, 12:00:00 AM"
CHOCHO,51923,"02/11/2026, 12:00:00 AM"
VALERIA,262925,"01/06/2026, 12:00:00 AM"
DANIELA,948,"02/13/2026, 12:00:00 AM"
EVELYN,1170447,"01/24/2026, 12:00:00 AM"
VALERIA,265652,"02/11/2026, 12:00:00 AM"
SEBAS,894736,"02/17/2026, 12:00:00 AM"
DIEGO,376298,"01/20/2026, 12:00:00 AM"
VALERIA,57376,"01/13/2026, 12:00:00 AM"
SEBAS,246978,"01/09/2026, 12:00:00 AM"
SEBAS,620913,"02/07/2026, 12:00:00 AM"
DANIELA,203567,"01/11/2026, 12:00:00 AM"
EVELYN,128029,"01/30/2026, 12:00:00 AM"
SEBAS,1088061,"01/14/2026, 12:00:00 AM"
EVELYN,36574,"01/25/2026, 12:00:00 AM"
SEBAS,51868,"03/01/2026, 12:00:00 AM"
EVELYN,39150,"01/08/2026, 12:00:00 AM"
CARO,1262177,"02/03/2026, 12:00:00 AM"
SEBAS,1290,"01/10/2026, 12:00:00 AM"
MAGALY,61976,"01/15/2026, 12:00:00 AM"
EDWIN,91190,"02/17/2026, 12:00:00 AM"
DANIELA,905886,"01/23/2026, 12:00:00 AM"
DANIELA,222382,"02/06/2026, 12:00:00 AM"
VALERIA,58781,"02/13/2026, 12:00:00 AM"
CHOCHO,44783,"02/25/2026, 12:00:00 AM"
DANIELA,55160,"02/21/2026, 12:00:00 AM"
DANIELA,57645,"01/24/2026, 12:00:00 AM"
MAGALY,204926,"02/12/2026, 12:00:00 AM"
EVELYN,849718,"01/25/2026, 12:00:00 AM"
DIEGO,1182850,"01/07/2026, 12:00:00 AM"
EVELYN,103122,"02/26/2026, 12:00:00 AM"
EDWIN,1039,"02/19/2026, 12:00:00 AM"
CARO,869883,"02/11/2026, 12:00:00 AM"
CHOCHO,104722,"02/21/2026, 12:00:00 AM"
VALERIA,768574,"02/06/2026, 12:00:00 AM"
EVELYN,53592,"02/19/2026, 12:00:00 AM"
EVELYN,51639,"02/26/2026, 12:00:00 AM"
DIEGO,91216,"02/23/2026, 12:00:00 AM"
DANIELA,979,"01/06/2026, 12:00:00 AM"
DIEGO,283585,"02/15/2026, 12:00:00 AM"
VALERIA,59818,"02/23/2026, 12:00:00 AM"
EDWIN,41216,"03/01/2026, 12:00:00 AM"
CHOCHO,96831,"02/26/2026, 12:00:00 AM"
EVELYN,88950,"01/29/2026, 12:00:00 AM"
SEBAS,1202158,"02/05/2026, 12:00:00 AM"
VALERIA,38280,"02/24/2026, 12:00:00 AM"
VALERIA,39585,"02/15/2026, 12:00:00 AM"
SEBAS,1115,"02/03/2026, 12:00:00 AM"
EVELYN,50016,"02/12/2026, 12:00:00 AM"
DANIELA,233321,"01/31/2026, 12:00:00 AM"
SEBAS,86585,"02/21/2026, 12:00:00 AM"
DANIELA,1049181,"01/08/2026, 12:00:00 AM"
MAGALY,762,"01/21/2026, 12:00:00 AM"
VALERIA,933844,"01/19/2026, 12:00:00 AM"
EVELYN,255652,"01/04/2026, 12:00:00 AM"
VALERIA,456356,"02/03/2026, 12:00:00 AM"
SEBAS,462052,"02/17/2026, 12:00:00 AM"
CARO,806880,"01/30/2026, 12:00:00 AM"
DANIELA,35126,"01/29/2026, 12:00:00 AM"
VALERIA,119407,"02/11/2026, 12:00:00 AM"
CARO,851,"02/18/2026, 12:00:00 AM"
CARO,870114,"01/13/2026, 12:00:00 AM"
EDWIN,538210,"02/26/2026, 12:00:00 AM"
EDWIN,517958,"02/06/2026, 12:00:00 AM"
VALERIA,511247,"01/28/2026, 12:00:00 AM"
DANIELA,547671,"01/20/2026, 12:00:00 AM"
CARO,102978,"02/23/2026, 12:00:00 AM"
VALERIA,109585,"01/01/2026, 12:00:00 AM"
DANIELA,977,"02/08/2026, 12:00:00 AM"
CHOCHO,821119,"02/23/2026, 12:00:00 AM"
CARO,1072,"02/06/2026, 12:00:00 AM"
DANIELA,806,"01/04/2026, 12:00:00 AM"
CHOCHO,743,"02/12/2026, 12:00:00 AM"
MAGALY,531455,"01/25/2026, 12:00:00 AM"
CHOCHO,50544,"01/16/2026, 12:00:00 AM"
MAGALY,723433,"01/13/2026, 12:00:00 AM"
VALERIA,464899,"01/26/2026, 12:00:00 AM"
MAGALY,435491,"02/24/2026, 12:00:00 AM"
CHOCHO,38635,"01/08/2026, 12:00:00 AM"
SEBAS,84339,"01/18/2026, 12:00:00 AM"
EVELYN,553779,"02/11/2026, 12:00:00 AM"
DIEGO,520050,"01/16/2026, 12:00:00 AM"
SEBAS,439394,"01/10/2026, 12:00:00 AM"
DANIELA,1205968,"02/21/2026, 12:00:00 AM"
DIEGO,578086,"02/21/2026, 12:00:00 AM"
CHOCHO,496908,"02/17/2026, 12:00:00 AM"
VALERIA,1095,"02/17/2026, 12:00:00 AM"
VALERIA,1037676,"01/30/2026, 12:00:00 AM"
DANIELA,79242,"01/01/2026, 12:00:00 AM"
DIEGO,54869,"02/18/2026, 12:00:00 AM"
MAGALY,94245,"02/11/2026, 12:00:00 AM"
EVELYN,1139930,"02/03/2026, 12:00:00 AM"
CARO,288809,"01/05/2026, 12:00:00 AM"
VALERIA,462267,"01/17/2026, 12:00:00 AM"
CARO,610195,"02/20/2026, 12:00:00 AM"
CHOCHO,596308,"02/23/2026, 12:00:00 AM"
EDWIN,1217277,"02/28/2026, 12:00:00 AM"
EDWIN,103978,"01/21/2026, 12:00:00 AM"
CHOCHO,396545,"02/13/2026, 12:00:00 AM"
VALERIA,832,"01/01/2026, 12:00:00 AM"
CARO,1181,"02/20/2026, 12:00:00 AM"
MAGALY,86196,"01/18/2026, 12:00:00 AM"
MAGALY,614870,"02/06/2026, 12:00:00 AM"
MAGALY,589557,"01/11/2026, 12:00:00 AM"
CARO,794,"01/23/2026, 12:00:00 AM"
CHOCHO,836,"02/01/2026, 12:00:00 AM"
EDWIN,39613,"02/28/2026, 12:00:00 AM"
MAGALY,642451,"01/13/2026, 12:00:00 AM"
DANIELA,39494,"02/03/2026, 12:00:00 AM"
CHOCHO,1237,"01/23/2026, 12:00:00 AM"
EDWIN,180876,"01/30/2026, 12:00:00 AM"
SEBAS,946,"02/28/2026, 12:00:00 AM"
DANIELA,991,"02/27/2026, 12:00:00 AM"
CARO,362909,"02/05/2026, 12:00:00 AM"
EDWIN,125469,"01/19/2026, 12:00:00 AM"
MAGALY,1196621,"02/03/2026, 12:00:00 AM"
MAGALY,242841,"01/03/2026, 12:00:00 AM"
CHOCHO,1289,"02/26/2026, 12:00:00 AM"
EVELYN,706581,"01/04/2026, 12:00:00 AM"
DIEGO,574923,"01/13/2026, 12:00:00 AM"
MAGALY,932424,"01/26/2026, 12:00:00 AM"
EVELYN,544313,"02/16/2026, 12:00:00 AM"
CARO,88369,"01/20/2026, 12:00:00 AM"
CARO,192049,"02/02/2026, 12:00:00 AM"
CARO,727,"01/31/2026, 12:00:00 AM"
CHOCHO,44140,"01/23/2026, 12:00:00 AM"
DANIELA,36686,"02/08/2026, 12:00:00 AM"
MAGALY,400446,"01/29/2026, 12:00:00 AM"
DANIELA,1298,"02/26/2026, 12:00:00 AM"
CARO,205280,"01/28/2026, 12:00:00 AM"
VALERIA,503171,"01/27/2026, 12:00:00 AM"
SEBAS,49029,"01/16/2026, 12:00:00 AM"
VALERIA,1046193,"01/28/2026, 12:00:00 AM"
SEBAS,52508,"03/01/2026, 12:00:00 AM"
SEBAS,973,"02/13/2026, 12:00:00 AM"
CHOCHO,414211,"02/08/2026, 12:00:00 AM"
MAGALY,109464,"02/13/2026, 12:00:00 AM"
VALERIA,55197,"02/09/2026, 12:00:00 AM"
SEBAS,492172,"02/06/2026, 12:00:00 AM"
EDWIN,50240,"02/13/2026, 12:00:00 AM"
CHOCHO,590570,"01/13/2026, 12:00:00 AM"
MAGALY,117030,"01/26/2026, 12:00:00 AM"
SEBAS,351386,"02/06/2026, 12:00:00 AM"
EVELYN,1212,"01/28/2026, 12:00:00 AM"
CHOCHO,300022,"01/28/2026, 12:00:00 AM"
CHOCHO,212664,"01/03/2026, 12:00:00 AM"
SEBAS,1088483,"02/13/2026, 12:00:00 AM"
CARO,123693,"02/21/2026, 12:00:00 AM"
DANIELA,43434,"02/19/2026, 12:00:00 AM"
SEBAS,116882,"01/19/2026, 12:00:00 AM"
SEBAS,54451,"02/04/2026, 12:00:00 AM"
CARO,198662,"02/21/2026, 12:00:00 AM"
DANIELA,74854,"01/10/2026, 12:00:00 AM"
EDWIN,265776,"01/02/2026, 12:00:00 AM"
DIEGO,591061,"02/13/2026, 12:00:00 AM"
SEBAS,94145,"02/17/2026, 12:00:00 AM"
CARO,962271,"01/10/2026, 12:00:00 AM"
CARO,494178,"02/08/2026, 12:00:00 AM"
DIEGO,40783,"01/24/2026, 12:00:00 AM"
MAGALY,300325,"01/16/2026, 12:00:00 AM"
SEBAS,600066,"01/16/2026, 12:00:00 AM"
DIEGO,52467,"01/06/2026, 12:00:00 AM"
SEBAS,1274279,"02/03/2026, 12:00:00 AM"
DIEGO,40713,"01/11/2026, 12:00:00 AM"
MAGALY,1274021,"02/04/2026, 12:00:00 AM"
EDWIN,396076,"01/02/2026, 12:00:00 AM"
CHOCHO,726,"01/04/2026, 12:00:00 AM"
VALERIA,118120,"02/16/2026, 12:00:00 AM"
DIEGO,1236,"01/13/2026, 12:00:00 AM"
MAGALY,746492,"02/21/2026, 12:00:00 AM"
CARO,100520,"02/27/2026, 12:00:00 AM"
VALERIA,81375,"01/04/2026, 12:00:00 AM"
VALERIA,103139,"01/03/2026, 12:00:00 AM"
DIEGO,896,"01/07/2026, 12:00:00 AM"
MAGALY,411666,"02/23/2026, 12:00:00 AM"
EVELYN,382720,"02/06/2026, 12:00:00 AM"
VALERIA,647328,"02/15/2026, 12:00:00 AM"
DANIELA,54401,"01/05/2026, 12:00:00 AM"
SEBAS,352378,"02/19/2026, 12:00:00 AM"
SEBAS,1236,"02/08/2026, 12:00:00 AM"
CARO,62204,"01/18/2026, 12:00:00 AM"
CHOCHO,629010,"01/29/2026, 12:00:00 AM"
CHOCHO,236078,"02/15/2026, 12:00:00 AM"
SEBAS,1016,"02/01/2026, 12:00:00 AM"
DANIELA,76113,"01/03/2026, 12:00:00 AM"
DANIELA,62478,"02/14/2026, 12:00:00 AM"
CARO,99314,"01/09/2026, 12:00:00 AM"
CHOCHO,57977,"02/09/2026, 12:00:00 AM"
CARO,112583,"01/25/2026, 12:00:00 AM"
CARO,86509,"01/04/2026, 12:00:00 AM"
DIEGO,839451,"02/03/2026, 12:00:00 AM"
CARO,115405,"01/31/2026, 12:00:00 AM"
DIEGO,92991,"01/21/2026, 12:00:00 AM"
CHOCHO,50818,"03/01/2026, 12:00:00 AM"
MAGALY,527226,"01/15/2026, 12:00:00 AM"
EVELYN,617691,"01/01/2026, 12:00:00 AM"
CARO,93164,"02/07/2026, 12:00:00 AM"
CHOCHO,648248,"01/29/2026, 12:00:00 AM"
VALERIA,992,"02/28/2026, 12:00:00 AM"
MAGALY,82315,"01/03/2026, 12:00:00 AM"
DANIELA,813630,"02/14/2026, 12:00:00 AM"
EVELYN,301033,"01/26/2026, 12:00:00 AM"
MAGALY,1289,"02/02/2026, 12:00:00 AM"
VALERIA,804947,"01/30/2026, 12:00:00 AM"
DANIELA,1280,"02/16/2026, 12:00:00 AM"
EDWIN,1184629,"02/10/2026, 12:00:00 AM"
DANIELA,40478,"02/15/2026, 12:00:00 AM"
CHOCHO,429005,"02/07/2026, 12:00:00 AM"
EVELYN,938,"01/27/2026, 12:00:00 AM"
VALERIA,435797,"02/09/2026, 12:00:00 AM"
DANIELA,543201,"01/22/2026, 12:00:00 AM"
DANIELA,38149,"02/27/2026, 12:00:00 AM"
CARO,1092535,"01/24/2026, 12:00:00 AM"
DANIELA,87016,"01/23/2026, 12:00:00 AM"
CARO,575261,"01/11/2026, 12:00:00 AM"
DIEGO,242458,"01/02/2026, 12:00:00 AM"
EDWIN,439815,"02/28/2026, 12:00:00 AM"
EDWIN,440732,"02/14/2026, 12:00:00 AM"
VALERIA,267912,"02/23/2026, 12:00:00 AM"
VALERIA,262392,"01/17/2026, 12:00:00 AM"
SEBAS,207772,"01/05/2026, 12:00:00 AM"
VALERIA,735875,"01/30/2026, 12:00:00 AM"
SEBAS,403623,"01/28/2026, 12:00:00 AM"
DIEGO,366910,"01/23/2026, 12:00:00 AM"
DANIELA,124969,"01/12/2026, 12:00:00 AM"
EVELYN,624186,"02/05/2026, 12:00:00 AM"
DIEGO,63712,"01/20/2026, 12:00:00 AM"
MAGALY,936063,"01/19/2026, 12:00:00 AM"
DANIELA,91177,"01/25/2026, 12:00:00 AM"
VALERIA,1016285,"02/22/2026, 12:00:00 AM"
MAGALY,320939,"01/24/2026, 12:00:00 AM"
EDWIN,75301,"02/23/2026, 12:00:00 AM"
EDWIN,476550,"01/03/2026, 12:00:00 AM"
DANIELA,1128,"01/08/2026, 12:00:00 AM"
DIEGO,960,"02/11/2026, 12:00:00 AM"
VALERIA,1016521,"01/14/2026, 12:00:00 AM"
CHOCHO,409836,"01/21/2026, 12:00:00 AM"
EDWIN,629727,"01/24/2026, 12:00:00 AM"
CHOCHO,1040086,"02/10/2026, 12:00:00 AM"
EDWIN,240712,"02/03/2026, 12:00:00 AM"
CHOCHO,128091,"01/05/2026, 12:00:00 AM"
CARO,1185,"02/13/2026, 12:00:00 AM"
SEBAS,64998,"01/03/2026, 12:00:00 AM"
EVELYN,48216,"01/30/2026, 12:00:00 AM"
CHOCHO,182313,"02/08/2026, 12:00:00 AM"
CARO,36465,"02/02/2026, 12:00:00 AM"
EDWIN,1197,"01/17/2026, 12:00:00 AM"
DANIELA,78608,"02/23/2026, 12:00:00 AM"
VALERIA,754,"02/09/2026, 12:00:00 AM"
CARO,984,"01/14/2026, 12:00:00 AM"
CARO,701,"01/14/2026, 12:00:00 AM"
EVELYN,635039,"01/21/2026, 12:00:00 AM"
DIEGO,845247,"01/07/2026, 12:00:00 AM"
EDWIN,58062,"01/20/2026, 12:00:00 AM"
DANIELA,545192,"01/11/2026, 12:00:00 AM"
CHOCHO,1062003,"01/18/2026, 12:00:00 AM"
MAGALY,304779,"01/20/2026, 12:00:00 AM"
MAGALY,215856,"03/01/2026, 12:00:00 AM"
EDWIN,88139,"01/19/2026, 12:00:00 AM"
CARO,860,"01/13/2026, 12:00:00 AM"
DANIELA,383851,"02/14/2026, 12:00:00 AM"
CARO,1222,"02/18/2026, 12:00:00 AM"
SEBAS,46221,"01/25/2026, 12:00:00 AM"
EVELYN,118005,"02/07/2026, 12:00:00 AM"
CHOCHO,960,"01/20/2026, 12:00:00 AM"
EVELYN,56893,"01/21/2026, 12:00:00 AM"
DIEGO,238557,"01/25/2026, 12:00:00 AM"
DIEGO,1024,"02/21/2026, 12:00:00 AM"
CHOCHO,956,"01/22/2026, 12:00:00 AM"
EDWIN,198052,"01/07/2026, 12:00:00 AM"
CHOCHO,230734,"02/24/2026, 12:00:00 AM"
EVELYN,314014,"01/12/2026, 12:00:00 AM"
CHOCHO,201944,"02/09/2026, 12:00:00 AM"
SEBAS,1266346,"02/21/2026, 12:00:00 AM"
DANIELA,1052663,"02/24/2026, 12:00:00 AM"
CHOCHO,540512,"01/06/2026, 12:00:00 AM"
MAGALY,586316,"01/24/2026, 12:00:00 AM"
VALERIA,550302,"01/26/2026, 12:00:00 AM"
VALERIA,51158,"01/09/2026, 12:00:00 AM"
CHOCHO,38072,"02/18/2026, 12:00:00 AM"
DIEGO,1141,"02/19/2026, 12:00:00 AM"
DANIELA,535488,"01/11/2026, 12:00:00 AM"
MAGALY,50341,"02/13/2026, 12:00:00 AM"
VALERIA,1291559,"02/15/2026, 12:00:00 AM"
MAGALY,1209,"02/06/2026, 12:00:00 AM"
SEBAS,472696,"02/25/2026, 12:00:00 AM"
CARO,528763,"01/26/2026, 12:00:00 AM"
DIEGO,99931,"01/15/2026, 12:00:00 AM"
MAGALY,526256,"02/27/2026, 12:00:00 AM"
DIEGO,210531,"01/25/2026, 12:00:00 AM"
CHOCHO,63714,"03/01/2026, 12:00:00 AM"
SEBAS,114811,"01/13/2026, 12:00:00 AM"
DANIELA,76457,"01/18/2026, 12:00:00 AM"
MAGALY,786,"02/17/2026, 12:00:00 AM"
MAGALY,94613,"01/22/2026, 12:00:00 AM"
DIEGO,1152,"01/17/2026, 12:00:00 AM"
EDWIN,534029,"02/11/2026, 12:00:00 AM"
MAGALY,47181,"02/02/2026, 12:00:00 AM"
DANIELA,73513,"01/11/2026, 12:00:00 AM"
DANIELA,47974,"01/13/2026, 12:00:00 AM"
CHOCHO,1078,"01/24/2026, 12:00:00 AM"
DIEGO,642357,"01/31/2026, 12:00:00 AM"
EVELYN,110237,"02/07/2026, 12:00:00 AM"
CHOCHO,56300,"02/20/2026, 12:00:00 AM"
VALERIA,62398,"02/06/2026, 12:00:00 AM"
CHOCHO,42000,"01/24/2026, 12:00:00 AM"
CARO,895012,"02/08/2026, 12:00:00 AM"
VALERIA,183594,"02/04/2026, 12:00:00 AM"
DIEGO,1296770,"01/12/2026, 12:00:00 AM"
EDWIN,1215,"01/30/2026, 12:00:00 AM"
VALERIA,48487,"02/26/2026, 12:00:00 AM"
DIEGO,64004,"01/30/2026, 12:00:00 AM"
CHOCHO,1135,"01/20/2026, 12:00:00 AM"
EDWIN,391560,"02/21/2026, 12:00:00 AM"
DIEGO,867444,"02/01/2026, 12:00:00 AM"
SEBAS,919196,"01/25/2026, 12:00:00 AM"
MAGALY,422985,"02/06/2026, 12:00:00 AM"
DANIELA,1116979,"02/25/2026, 12:00:00 AM"
VALERIA,1230,"02/19/2026, 12:00:00 AM"
CARO,284882,"01/04/2026, 12:00:00 AM"
VALERIA,1138013,"01/16/2026, 12:00:00 AM"
CARO,808222,"02/25/2026, 12:00:00 AM"
CARO,870928,"02/22/2026, 12:00:00 AM"
SEBAS,191088,"01/06/2026, 12:00:00 AM"
CARO,40213,"01/28/2026, 12:00:00 AM"
SEBAS,83595,"01/22/2026, 12:00:00 AM"
CHOCHO,828441,"01/20/2026, 12:00:00 AM"
SEBAS,307674,"02/13/2026, 12:00:00 AM"
CARO,564798,"02/22/2026, 12:00:00 AM"
VALERIA,74061,"01/21/2026, 12:00:00 AM"
EDWIN,186971,"02/10/2026, 12:00:00 AM"
MAGALY,729,"02/13/2026, 12:00:00 AM"
CARO,84626,"02/27/2026, 12:00:00 AM"
DIEGO,220731,"01/22/2026, 12:00:00 AM"
MAGALY,1004,"02/28/2026, 12:00:00 AM"
SEBAS,976,"01/28/2026, 12:00:00 AM"
EDWIN,297063,"02/09/2026, 12:00:00 AM"
SEBAS,894105,"02/08/2026, 12:00:00 AM"
EVELYN,123876,"01/13/2026, 12:00:00 AM"
DANIELA,1004222,"01/26/2026, 12:00:00 AM"
DANIELA,128395,"02/12/2026, 12:00:00 AM"
CARO,45929,"02/12/2026, 12:00:00 AM"
MAGALY,480739,"02/25/2026, 12:00:00 AM"
VALERIA,62604,"02/26/2026, 12:00:00 AM"
MAGALY,193297,"01/20/2026, 12:00:00 AM"
MAGALY,1236,"02/10/2026, 12:00:00 AM"
DANIELA,368298,"02/01/2026, 12:00:00 AM"
EDWIN,128189,"02/23/2026, 12:00:00 AM"
DANIELA,428762,"01/10/2026, 12:00:00 AM"
EVELYN,93954,"01/08/2026, 12:00:00 AM"
EVELYN,91326,"02/17/2026, 12:00:00 AM"
DANIELA,714,"02/09/2026, 12:00:00 AM"
DIEGO,861269,"03/01/2026, 12:00:00 AM"
VALERIA,178314,"02/18/2026, 12:00:00 AM"
CHOCHO,559053,"01/09/2026, 12:00:00 AM"
VALERIA,263310,"02/09/2026, 12:00:00 AM"
SEBAS,247252,"01/03/2026, 12:00:00 AM"
MAGALY,323339,"02/14/2026, 12:00:00 AM"
VALERIA,269396,"01/27/2026, 12:00:00 AM"
MAGALY,260934,"02/21/2026, 12:00:00 AM"
MAGALY,129851,"02/21/2026, 12:00:00 AM"
VALERIA,37711,"02/19/2026, 12:00:00 AM"
EDWIN,311775,"01/19/2026, 12:00:00 AM"
VALERIA,100802,"02/07/2026, 12:00:00 AM"
CARO,984,"02/18/2026, 12:00:00 AM"
CHOCHO,897,"01/25/2026, 12:00:00 AM"
MAGALY,265878,"02/27/2026, 12:00:00 AM"
EVELYN,1051,"01/29/2026, 12:00:00 AM"
MAGALY,1161,"02/22/2026, 12:00:00 AM"
EDWIN,276058,"02/24/2026, 12:00:00 AM"
EDWIN,634017,"02/24/2026, 12:00:00 AM"
VALERIA,389155,"01/30/2026, 12:00:00 AM"
DANIELA,124600,"02/28/2026, 12:00:00 AM"
SEBAS,106048,"01/08/2026, 12:00:00 AM"
CARO,1107,"01/22/2026, 12:00:00 AM"
EDWIN,122918,"02/17/2026, 12:00:00 AM"
SEBAS,63718,"01/27/2026, 12:00:00 AM"
CARO,1105,"02/14/2026, 12:00:00 AM"
DANIELA,356810,"02/11/2026, 12:00:00 AM"
MAGALY,359707,"01/11/2026, 12:00:00 AM"
EVELYN,227619,"01/16/2026, 12:00:00 AM"
CHOCHO,251457,"02/18/2026, 12:00:00 AM"
MAGALY,498447,"01/04/2026, 12:00:00 AM"
SEBAS,48802,"02/20/2026, 12:00:00 AM"
VALERIA,96803,"02/09/2026, 12:00:00 AM"
EDWIN,73927,"02/05/2026, 12:00:00 AM"
EDWIN,809,"01/31/2026, 12:00:00 AM"
VALERIA,1262184,"02/08/2026, 12:00:00 AM"
SEBAS,323166,"02/22/2026, 12:00:00 AM"
DIEGO,38952,"01/06/2026, 12:00:00 AM"
CHOCHO,955131,"01/29/2026, 12:00:00 AM"
EDWIN,1286,"01/15/2026, 12:00:00 AM"
CARO,1044,"02/25/2026, 12:00:00 AM"
DIEGO,39011,"02/07/2026, 12:00:00 AM"
EDWIN,108869,"02/15/2026, 12:00:00 AM"
SEBAS,1041,"01/26/2026, 12:00:00 AM"
EVELYN,78060,"01/14/2026, 12:00:00 AM"
SEBAS,118989,"01/19/2026, 12:00:00 AM"
EDWIN,591084,"02/08/2026, 12:00:00 AM"
DIEGO,438815,"01/08/2026, 12:00:00 AM"
DIEGO,791052,"01/22/2026, 12:00:00 AM"
EVELYN,1159769,"01/31/2026, 12:00:00 AM"
DANIELA,96299,"01/15/2026, 12:00:00 AM"
MAGALY,906537,"01/28/2026, 12:00:00 AM"
DANIELA,37430,"01/23/2026, 12:00:00 AM"
DANIELA,103544,"02/19/2026, 12:00:00 AM"
MAGALY,940,"01/23/2026, 12:00:00 AM"
DANIELA,227072,"01/10/2026, 12:00:00 AM"
EVELYN,1018615,"01/30/2026, 12:00:00 AM"
CHOCHO,56032,"01/06/2026, 12:00:00 AM"
CARO,73835,"01/04/2026, 12:00:00 AM"
DANIELA,54988,"01/28/2026, 12:00:00 AM"
SEBAS,45264,"01/09/2026, 12:00:00 AM"
DANIELA,111365,"01/22/2026, 12:00:00 AM"
DANIELA,43875,"02/11/2026, 12:00:00 AM"
DANIELA,433097,"02/14/2026, 12:00:00 AM"
CARO,942,"02/08/2026, 12:00:00 AM"
